,GVN,,LICM,,DSE,,LV,,SLP,,,
Functions,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,Performance improvement,Precision improvement
xcalloc,0,0,0,0,0,0,0,0,0,0,0.01,0
push_operand,0,11.42,0,0,0,0,0,0,0,0,0,0
vinsn_equal_p,0,55.56,0,0,0,0,0,0,0,0,0,0
deletable_insn_p,-21.74,36.23,0,0,0,0,0,0,0,0,-0.02,0
sd_iterator_cond,0,0,0,0,0,0,0,0,0,0,0,0
et_free_tree_force,0,0,0,0,0,0,0,0,0,0,0.02,0
gen_rtx_fmt_ee_stat,0,0,0,0,0,0,0,0,0,0,0,0
invalid_mode_change_p,0,0,0,0,0,0,0,0,0,0,0.02,0
coalesced_pseudo_reg_freq_compare,0,53.85,0,0,0,0,0,0,0,0,0.01,65.1
tree_forwarder_block_p,12.69,46.91,0,0,0,0,0,0,0,0,-0.02,0
av_set_lookup,0,100,0,0,0,0,0,0,0,0,0,0
is_ineligible_successor,0,35.55,0,0,0,0,0,0,0,0,0,0
onlyjump_p,0,60,0,0,0,0,0,0,0,0,0,0
change_address_1,76.6,31.71,0,0,0,0,0,0,0,0,-0.02,0
flags_from_decl_or_type,0,66.66,0,0,0,0,0,0,0,0,0,0
mark_jump_label,0,0,0,0,0,0,0,0,0,0,-0.01,0
cselib_hash_rtx,-2.64,41.4,0,0,0,0,0,0,0,0,-0.01,0
find_edge,11.12,40.55,0,0,0,0,0,0,0,0,0,0
find_base_term,0,36.85,0,0,0,0,0,0,0,0,-0.1,0
sel_insn_is_speculation_check,0,100,0,0,0,0,0,0,0,0,0,0
pointer_map_contains,0,36.36,0,0,0,0,0,0,0,0,0,0
pc_set,0,75,0,0,0,0,0,0,0,0,0,0
flist_lookup,0,0,0,0,0,0,0,0,0,0,-0.01,0
df_canonize_collection_rec,-17.88,46.12,0,0,0,0,0,0,0,0,0.01,0
active_insn_p,0,33.33,0,0,0,0,0,0,0,0,0,0
et_nca,14.29,36.31,0,0,0,0,0,0,0,0,0,0
c_gimplify_expr,0,33.33,0,0,0,0,0,0,0,0,-0.01,0
_cpp_lex_token,56.07,-1.46,313.85,38.19,-14.29,57.14,0,0,0,0,0.04,18.1
c_lex_with_flags,0.5,6.03,0,0,0,0,0,0,0,0,-0.04,0
tree_block,0,100,0,0,0,0,0,0,0,0,0,0
iterative_hash,0,0,0,0,0,0,0,0,0,0,0.03,0
ix86_adjust_cost,0,8.8,-10,11.12,0,0,0,0,0,0,0.01,0.6
reg_scan_mark_refs,130.09,6.03,23.08,53.61,0,0,0,0,0,0,0.03,10.6
simplify_relational_operation,0,12.02,0,0,0,0,0,0,0,0,0.01,0
emit_insn_before_noloc,0,0,0,0,0,0,0,0,0,0,-0.01,0
ds_full_merge,0,0,0,0,0,0,0,0,0,0,0,0
df_insn_change_bb,0,25,0,0,0,0,0,0,0,0,0,0
gimple_assign_copy_p,63.64,79.04,0,0,0,0,0,0,0,0,0.01,0
split_4,9.53,3.98,0,0,0,0,0,0,0,0,-0.01,0
rtx_addr_can_trap_p_1,0,30.95,0,0,0,0,0,0,0,0,-0.01,0
make_compound_operation,-10.33,28.13,9.1,100,0,0,0,0,0,0,0.02,2.7
tick_check_note_dep,0,0,0,0,0,0,0,0,0,0,0.01,0
et_below,71.43,46.42,0,0,0,0,0,0,0,0,-0.01,0
reg_mentioned_p,-15.79,61.18,0,0,0,0,0,0,0,0,0.01,0
reversed_comparison_code_parts,0,13.89,0,0,0,0,0,0,0,0,-0.03,0
iterative_hash_exprs_commutative,0,0,0,0,0,0,0,0,0,0,-0.01,0
bucket_allocno_compare_func,372.73,20.57,0,0,0,0,0,0,0,0,0,0
vec_gc_p_reserve,0,0,0,0,0,0,0,0,0,0,0,0
get_attr_modrm,0,0,0,0,0,0,0,0,0,0,0.02,0
ggc_free,116,25.71,0,0,0,0,0,0,0,0,-0.01,0
inline_forbidden_p_stmt,0,70,0,0,0,0,0,0,0,0,-0.01,0
get_last_value_validate,2.13,35.54,278.34,70.27,0,0,0,0,0,0,0.02,15.5
free_succs_info,0,27.28,0,0,0,0,0,0,0,0,0.01,27.3
c_parser_postfix_expression,1.8,1.04,0,0,0,0,0,0,0,0,-0.01,0
av_set_leave_one_nonspec,-31.58,5.26,0,0,0,0,0,0,0,0,0,0
single_set_2,-2.92,58.61,0,0,0,0,0,0,0,0,0.01,0
rtl_profile_for_bb,0,19.23,0,0,0,0,0,0,0,0,0,0
ht_lookup_with_hash,4.47,28.79,0,0,0,0,0,0,0,0,0.01,0
free_alloc_pool,0,0,0,0,0,0,0,0,0,0,0,0
vn_reference_eq,-4.94,33.49,0,0,0,0,0,0,0,0,0,0
output_operand,0,14.29,0,0,0,0,0,0,0,0,0,0
finish_global_and_expr_insn,45.77,70.5,0,0,0,0,0,0,0,0,0,0
init_global_and_expr_for_insn,3.61,41.08,0,0,-30,88.93,0,0,0,0,0.02,27.1
df_insn_refs_verify,-6.55,44.52,0,0,0,0,0,0,0,0,-0.01,0
sd_add_dep,24.06,36.05,0,0,0,0,0,0,0,0,-0.04,0
htab_delete,0,4.55,0,0,0,0,0,0,0,0,0,0
htab_create,0,0,0,0,0,0,0,0,0,0,0,0
bitmap_intersect_p,0,31.25,0,0,0,0,0,0,0,0,0,0
compute_live,-13.05,35.54,0,0,0,0,0,0,0,0,-0.01,0
haifa_classify_rtx,-23.08,36.15,0,0,0,0,0,0,0,0,0,0
insn_current_reference_address,-10.09,40.96,0,0,0,0,0,0,0,0,-0.01,0
build1_stat,106.25,75,0,0,0,0,0,0,0,0,-0.01,0
try_combine,386.53,-26.3,0,0,0,0,4150,4.71,0,0,-0.02,0
compute_use_by_pseudos,0,31.37,13.34,9.42,0,0,0,0,0,0,0.01,24.1
optimize_insn_for_size_p,0,0,0,0,0,0,0,0,0,0,0,0
add_phi_arg,148.22,37.96,0,0,0,0,0,0,0,0,0.02,0
has_dependence_p,-18.19,64.14,0,0,0,0,0,0,0,0,0.01,26.5
advance_state_on_fence,0,26.23,0,0,0,0,0,0,0,0,0,0
priority,3,19.91,0,0,0,0,0,0,0,0,0.01,0
bitmap_and_compl,206.65,19.49,0,0,0,0,0,0,0,0,-0.04,0
make_ssa_name_fn,-2.57,71.32,0,0,0,0,0,0,0,0,-0.02,0
ilist_copy,50,47.23,0,0,0,0,0,0,0,0,0,0
can_combine_p,26.87,35.99,0,0,0,0,0,0,0,0,-0.02,0
modified_in_p,0,11.11,-11.12,13.88,0,0,0,0,0,0,0.02,7.7
df_free_collection_rec,-45.92,32.82,0,100,0,0,0,0,0,0,0.02,19.2
get_nop_from_pool,0,41.67,0,0,0,0,0,0,0,0,0,0
vn_reference_lookup_2,3.34,50.97,0,0,33.34,100,0,0,0,0,0.03,18.4
try_redirect_by_replacing_jump,404.48,22.25,0,-17.14,10.53,26.56,0,0,0,0,0.03,5.8
bb_ends_ebb_p,31.64,42.01,0,0,0,0,0,0,0,0,0,0
mode_dependent_address_p,0,0,0,0,0,0,0,0,0,0,0,0
remove_notes,0,0,72.73,12.92,0,0,0,0,0,0,0.03,12.5
sched_free_deps,-9.02,31.58,61.96,29.35,50,31.25,0,0,0,0,0.07,10.8
eliminate_const_or_copy,49.55,20.47,348.76,50.36,11.77,19.51,0,0,0,0,0.01,8.2
uncprop_enter_block,77.83,41.67,0,0,0,0,0,0,0,0,0.01,0
asm_fprintf,64.71,11.05,0,0,0,0,0,0,0,0,-0.01,0
repl_map_free,0,0,0,0,0,0,0,0,0,0,-0.01,0
rgn_setup_region,0,0,0,0,0,0,0,0,0,0,0,0
sel_sched_region,1.67,1.57,27.82,-7.2,12.13,6.39,0,0,0,0,0.03,5.9
next_nonnote_insn_bb,0,66.66,0,0,0,0,0,0,0,0,0,0
deps_join,113.99,50.21,13.47,28,0,0,0,0,0,0,0.01,4.8
free_graph,0,0,0,0,0,0,0,0,0,0,0,0
df_lr_init,0,18.75,0,0,0,0,0,0,0,0,-0.02,0
ira_traverse_loop_tree,0,26.32,0,0,0,0,0,0,0,0,0.02,4.5
execute_copy_prop,300.42,-0.64,167.45,47.4,0,8.33,0,0,0,40,0.02,10.5
rename_ssa_copies,2.97,18.25,0,0,0,0,0,0,0,0,-0.03,0
relink_block_chain,44.12,42.91,0,0,0,0,0,0,0,0,0,0
tree_ssa_phiopt_worker,245.08,-13.27,0,0,0,0,0,0,0,0,0.02,0
find_tail_calls,26.96,23.04,0,0,0,0,0,0,0,0,-0.02,0
cfg_layout_initialize,17.55,48.86,0,0,0,0,0,0,0,0,0,0
estimate_bb_frequencies,703,-1.52,0,0,0,0,0,0,0,0,-0.01,0
reg_scan,0,0,0,0,0,0,0,0,0,0,0.01,0
ipcp_versionable_function_p,197.02,13.22,0,0,0,0,0,0,0,0,0,0
break_up_subtract_bb,42.79,18.02,0,0,0,0,0,0,0,0,0.01,0
do_warn_unused_result,29.17,69.02,200,85.9,0,0,0,0,0,0,0.01,15.1
tree_estimate_probability,17.27,42.08,0,0,0,0,0,0,0,0,-0.01,0
calculate_live_on_exit,3.2,63.29,222.06,48.29,0,0,0,0,0,0,0.01,29.5
compute_alignments,2.51,8.9,0,0,0,0,0,0,0,0,0,0
execute_optimize_bswap,120.51,-0.92,0,0,0,0,0,0,0,0,0,0
find_replaceable_exprs,269.16,-2.06,0,0,0,0,0,0,0,0,0.02,0
instantiate_virtual_regs,22.9,12.46,0,0,0,0,0,0,0,0,0,0
rest_of_handle_stack_adjustments,85.05,2.25,0,0,0,0,0,0,0,0,0,0
pic_32bit_operand,0,0,0,0,0,0,0,0,0,0,0,0
max_reg_num,0,0,0,0,0,0,0,0,0,0,0,0
ix86_preferred_reload_class,0,17.65,0,0,0,0,0,0,0,0,0,0
bypass_p,0,0,0,0,0,0,0,0,0,0,0.01,0
gimple_cond_get_ops_from_tree,54,40.94,0,0,0,0,0,0,0,0,0,0
ix86_vector_mode_supported_p,0,0,0,0,0,0,0,0,0,0,0,0
df_live_init,0,42,0,0,0,0,0,0,0,0,-0.02,0
ggc_alloc_typed_stat,0,0,0,0,0,0,0,0,0,0,-0.02,0
stmt_could_throw_p,0,0,0,0,0,0,0,0,0,0,-0.02,0
gimple_get_lhs,0,50,0,0,0,0,0,0,0,0,0.01,8.6
extract_constrain_insn_cached,0,0,0,0,0,0,0,0,0,0,0,0
cmp_dfsnum,0,100,0,0,0,0,0,0,0,0,0,0
validate_change,0,0,0,0,0,0,0,0,0,0,0.02,0
default_addr_space_legitimate_address_p,0,0,0,0,0,0,0,0,0,0,0.02,0
extract_insn_cached,0,0,0,0,0,0,0,0,0,0,0,0
vec_stack_free,0,0,0,0,0,0,0,0,0,0,0,0
find_reg_equal_equiv_note,0,45.45,0,0,0,0,0,0,0,0,0,0
nonimmediate_operand,0,100,0,0,0,0,0,0,0,0,0,0
fold_relational_const,0,12.73,0,0,0,0,0,0,0,0,-0.01,0
stmt_ends_bb_p,0,0,0,0,0,0,0,0,0,0,0,0
get_av_level,0,32.5,0,0,0,0,0,0,0,0,0.01,0
htab_find,-9.26,48.14,0,0,0,0,0,0,0,0,0,0
av_set_clear,-28.58,11.42,0,0,0,0,0,0,0,0,0,0
et_new_tree,0,0,0,0,0,0,0,0,0,0,-0.02,0
bitmap_ior,43.81,16.13,100,45.45,0,20,0,0,0,0,0.07,5.8
xrealloc,0,0,0,0,0,0,0,0,0,0,0,0
canon_rtx,16,46.21,0,0,0,0,0,0,0,0,-0.09,0
special_function_p,13.8,38.76,0,0,0,0,0,0,0,0,0.01,19.5
sel_bb_head_p,0,42.85,0,0,0,0,0,0,0,0,0.01,12.1
verify_changes,-5.16,29.72,13.16,28.4,100,100,0,0,0,0,0.01,18.2
apply_change_group,85.72,71.42,0,0,0,0,0,0,0,0,0,0
const_int_htab_eq,0,100,0,0,0,0,0,0,0,0,0,0
fold_rtx,87.59,8.61,119.12,44.95,0,0,0,0,0,0,0.05,0.7
get_attr_type,0,0,0,0,0,0,0,0,0,0,0.03,0
replace_equiv_address_nv,0,0,0,0,0,0,0,0,0,0,0,0
av_set_copy,0,25,0,0,0,0,0,0,0,0,0,0
free_INSN_LIST_node,0,0,0,0,0,0,0,0,0,0,0,0
process_ssa_edge_worklist,13.05,67.72,0,0,0,0,0,0,0,0,0,0
fold_undefer_and_ignore_overflow_warnings,0,0,0,0,0,0,0,0,0,0,0,0
cselib_invalidate_rtx_note_stores,0,0,0,0,0,0,0,0,0,0,0.01,2.2
name_registered_for_update_p,0,20,0,0,0,0,0,0,0,0,0,0
df_grow_bb_info,0,83.33,0,0,0,0,0,0,0,0,0,0
mark_nonreg_stores_1,0,100,0,0,0,0,0,0,0,0,0,0
kill_autoinc_value,45.66,40.21,0,0,0,0,0,0,0,0,0,0
equiv_constant,34.91,33.9,20,35.55,0,0,0,0,-13.34,0,0.01,5.6
sel_bb_end_p,-15.39,52.44,0,0,0,0,0,0,0,0,0,0
sd_next_list,0,90.91,0,0,0,0,0,0,0,0,0,0
df_grow_reg_info,152,84.83,0,0,0,0,0,0,0,0,0,0
reg_overlap_mentioned_p,3.18,13.62,0,0,0,0,0,0,0,0,0,0
reg_classes_intersect_p,0,100,0,0,0,0,0,0,0,0,0,0
new_cselib_val,-28.58,38.57,0,0,0,0,0,0,0,0,0,0
sel_bb_head,0,33.33,0,0,0,0,0,0,0,0,0,0
_cpp_lex_direct,328.23,32.65,772.7,12.13,-17.49,30.2,0,0,0,0,0.02,3.9
cpp_get_token,0,14.94,12.13,5.02,0,2.04,0,0,0,0,0.02,1.5
c_lex_one_token,0,38.99,0,0,0,0,0,0,0,0,0.01,0
c_parser_consume_token,0,0,0,0,0,0,0,0,0,0,0,0
insert_with_costs,35.27,19.34,0,0,0,0,0,0,0,0,0,0
num_sign_bit_copies1,1.75,56.45,0,0,0,0,0,0,0,0,-0.01,0
recog,-4.88,13.86,0,0,0,0,0,0,0,0,0.02,1.5
int_size_in_bytes,0,70,0,0,0,0,0,0,0,0,0,0
record_truncated_value,-9.53,38.85,0,0,0,0,0,0,0,0,0.01,0
simplify_const_binary_operation,0,4.96,0,0,0,0,0,0,0,0,-0.02,0
get_current_def,0,11.91,0,0,0,0,0,0,0,0,0,0
state_transition,0,0,0,0,0,0,0,0,0,0,0.02,10.5
simplify_binary_operation,0,0,0,0,0,0,0,0,0,0,0,0
insn_cost,0,61.53,0,0,0,0,0,0,0,0,0.01,0
vec_heap_o_reserve_1,0,0,0,0,0,0,0,0,0,0,0,0
dbg_cnt,0,0,0,0,0,0,0,0,0,0,0,0
gimple_assign_ssa_name_copy_p,81.09,73.34,0,0,0,0,0,0,0,0,0.03,0
get_value_range,9.81,56.65,0,0,0,0,0,0,0,0,0.02,22.6
_eligible_successor_edge_p,8.64,6.64,0,0,0,0,0,0,0,0,-0.03,0
exp_equiv_p,-2.9,15.11,0,0,0,0,0,0,0,0,-0.04,0
set_current_def,2.64,34.82,20,10,0,0,0,0,0,0,0.01,16.1
get_expr_operands,0,68.75,0,0,0,0,0,0,0,0,0.02,0
simplify_binary_operation_1,-0.37,8.29,0,0,0,0,0,0,0,0,-0.01,0
av_set_is_in_p,0,100,0,0,0,0,0,0,0,0,0,0
build2_stat,30,51.54,0,0,0,0,0,0,0,0,0.02,0
estimate_operator_cost,0,100,0,0,0,0,0,0,0,0,0.01,17.9
ix86_comparison_operator,0,66.66,0,0,0,0,0,0,0,0,0,0
try_split,14.62,18.49,81.82,-3.1,0,0,0,0,0,0,0.01,3
can_throw_internal,0,0,0,0,0,0,0,0,0,0,0,0
execute_on_growing_pred,0,0,0,0,0,0,0,0,0,0,0,0
cselib_subst_to_values,3.58,71.68,60.72,85.31,0,0,0,0,0,0,0.01,7.7
insn_default_length,0,0,0,0,0,0,0,0,0,0,0.01,0
sel_target_adjust_priority,0,0,0,0,0,0,0,0,0,0,-0.01,0
tick_check_dep_with_dw,0,48.89,0,0,0,0,0,0,0,0,0,0
sel_bb_empty_p,0,33.33,0,0,0,0,0,0,0,0,0.02,0
haifa_note_dep,0,5.72,0,0,0,0,0,0,0,0,-0.01,0
tree_expr_nonzero_warnv_p,0,58.13,81.82,63.63,0,0,0,0,0,0,0.01,19.6
remove_free_INSN_LIST_node,50,61.11,0,0,0,0,0,0,0,0,0,0
forward_propagate_into,1.55,31.19,0,0,0,0,0,0,0,0,-0.02,0
rewrite_update_leave_block,0,0,0,0,0,0,0,0,0,0,0,0
mark_symbol_ref_as_used,0,66.66,0,0,0,0,0,0,0,0,0,0
check_mem_read_use,0,0,0,0,0,0,0,0,0,0,-0.03,0
execute_on_shrinking_pred,0,0,0,0,0,0,0,0,0,0,0,0
free_expr_hash_elt,0,0,0,0,0,0,0,0,0,0,0,0
cant_combine_insn_p,0,50,0,0,0,0,0,0,0,0,-0.01,0
copy_if_shared_r,0,100,0,0,0,0,0,0,0,0,0.03,0
get_attr_prefix_rex,0,0,0,0,0,0,0,0,0,0,0.01,1.7
ccp_fold,17.18,37.76,0,0,0,0,0,0,0,0,0,0
vec_heap_p_reserve_exact,0,0,0,0,0,0,0,0,0,0,0,0
add_or_update_dep_1,-19.93,11.01,0,0,0,0,0,0,0,0,-0.03,0
build_int_cst,0,0,0,0,0,0,0,0,0,0,0,0
df_reg_chain_unlink,37.31,36.68,0,0,0,0,0,0,0,0,0.02,0
may_trap_exp,0,66.67,0,0,0,0,0,0,0,0,0,0
cleanup_subreg_operands,-25,17.36,0,0,0,0,0,0,0,0,0,0
sreal_init,0,0,0,0,0,0,0,0,0,0,0,0
eliminate_regs_1,0.7,24.52,0,0,0,0,0,0,0,0,-0.01,0
force_fit_type_double,0,0,0,0,0,0,0,0,0,0,-0.02,0
dead_or_set_p,0,25,0,0,0,0,0,0,0,0,-0.01,0
constrain_operands_cached,0,0,0,0,0,0,0,0,0,0,0,0
record_cond,0,0,0,0,0,0,0,0,0,0,-0.01,0
walk_gimple_stmt,1011.03,10.76,0,0,0,0,0,0,0,0,0,0
vec_heap_o_reserve_exact,0,0,0,0,0,0,0,0,0,0,-0.01,0
init_deps,0,0,0,0,0,0,0,0,0,0,0,0
compute_succs_info,25,7.24,0,0,0,0,0,0,0,0,-0.01,0
add_stmt_operand,0,43.75,0,0,0,0,0,0,0,0,0.03,7
c_parser_cast_expression,0,4.34,0,0,0,0,0,0,0,0,0.01,7.4
find_vars_r,0,33.33,0,0,0,0,0,0,0,0,0.01,0
lookup_avail_expr,39.9,55.5,0,0,0,0,0,0,0,0,-0.01,0
tick_check_p,60,80,0,0,0,0,0,0,0,0,0,0
ssa_operands_active,0,100,0,0,0,0,0,0,0,0,0,0
print_operand,0.76,8.43,0,0,0,0,0,0,0,0,0,-0.5
add_reg_note,0,0,0,0,0,0,0,0,0,0,0,0
tidy_control_flow,-12.82,13.8,0,0,0,0,0,0,0,0,0,0
prepare_insn_expr,160,90,0,0,162.5,62.5,0,0,0,0,0.01,35.8
default_addr_space_address_mode,0,0,0,0,0,0,0,0,0,0,0.01,0
gimple_execute_on_shrinking_pred,0,80,0,0,0,0,0,0,0,0,-0.01,0
redirect_edge_succ,-19.24,84.61,0,0,0,0,0,0,0,0,-0.01,0
sreal_add,81.58,46.84,0,0,0,0,0,0,0,0,0.01,16.8
c_fully_fold,0,5,0,0,150,15,0,0,0,0,0.02,5.2
stmt_may_generate_copy,0,65.22,0,0,0,0,0,0,0,0,-0.01,0
blist_add,0,0,0,0,0,0,0,0,0,0,0,0
blist_remove,-18.92,16.39,0,0,0,0,0,0,0,0,0,0
redirect_edge_succ_nodup,63.64,72.72,0,0,0,0,0,0,0,0,0,0
walk_gimple_op,59.49,41.41,29.17,41.66,0,0,0,0,0,0,0.02,1.8
moveup_set_inside_insn_group,0,0,0,0,0,0,0,0,0,0,-0.01,0
c_parser_binary_expression,20.4,2.24,0,0,0,0,0,0,0,0,0.01,0
compare_operator,0,0,0,0,0,0,0,0,0,0,0,0
find_comparison_args,52.55,20.16,34.18,12.05,100,100,0,0,0,0,0.02,7.7
init_first_time_insn_data,-12.25,60.75,0,0,0,0,0,0,0,0,0,0
expand_expr_real,3.23,30.24,0,0,0,0,0,0,0,0,0.01,0
pre_expr_hash,0,33.33,0,0,0,0,0,0,0,0,-0.01,0
update_table_tick,0.77,38.42,0,0,0,0,0,0,0,0,0.01,0
gimple_has_side_effects,24.6,72.13,0,0,0,0,0,0,0,0,-0.01,0
default_conversion,15.22,30.52,0,0,0,0,0,0,0,0,0.01,0
calculate_privileged_insns,0,17.12,0,0,0,0,0,0,0,0,0,0
invoke_dfa_lookahead_guard,41.03,5.43,0,0,0,0,0,0,0,0,0,0
get_alias_set,2.36,21.6,68.84,26.67,0,0,0,0,0,0,0.06,7.5
get_ebb_head_tail,30.31,63.21,0,0,0,0,0,0,0,0,0,0
pointer_map_insert,0,30.61,0,0,0,0,0,0,0,0,-0.02,0
cselib_reset_table,0,0,0,0,0,0,0,0,0,0,0,0
expand_expr_real_1,159.49,-4.51,0,0,0,0,0,0,0,0,0,0
add_to_value,0,40,0,0,0,0,0,0,0,0,-0.03,0
gsi_insert_after_without_update,0,0,0,0,0,0,0,0,0,0,0,0
reg_set_p,0,14.29,0,0,0,0,0,0,0,0,-0.01,0
plus_constant,145,12.05,0,0,0,0,0,0,0,0,-0.01,0
sched_deps_init,0,28,0,0,0,0,0,0,0,0,0,0
record_last_set_info,0,53.33,0,0,0,0,0,0,0,0,-0.02,0
VN_INFO_GET,33.34,66.66,0,0,0,0,0,0,0,0,0,0
scan_paradoxical_subregs,6.25,72.61,0,0,0,0,0,0,0,0,0.02,0
try_crossjump_bb,49.01,34.79,100,69,0,0,0,0,0,0,0.01,21.3
purge_dead_edges,10.32,31.08,0,0,0,0,0,0,0,0,-0.03,0
any_uncondjump_p,0,72.72,0,0,0,0,0,0,0,0,0,0
insn_file,0,0,0,0,0,0,0,0,0,0,0,0
df_rd_confluence_n,0,56.82,0,0,0,0,0,0,0,0,0,0
invert_tree_comparison,0,0,0,0,0,0,0,0,0,0,0,0
internal_dfa_insn_code,0,0,0,0,0,0,0,0,0,0,-0.01,0
find_sequential_best_exprs,-3.85,15.07,0,0,0,0,0,0,0,0,0,0
reemit_notes,0,33.33,0,28.57,0,0,0,0,0,0,0.02,11.1
update_fence_and_insn,139.63,47.05,0,0,0,0,0,0,0,0,0.01,0
insn_rtx_cost,0,66.66,0,0,0,0,0,0,0,0,0,0
haifa_start_insn,0,0,0,0,0,0,0,0,0,0,-0.01,0
sd_finish_insn,-13.23,57.07,0,0,100,100,0,0,0,0,0.03,51
lex_identifier,79.68,3.58,0,6.67,0,0,0,0,0,0,0.02,4.1
register_edge_assert_for,7.35,42.98,0,0,0,0,0,0,0,0,0,0
compare_name_with_value,-12.65,34.79,0,0,0,0,0,0,0,0,0,0
simplify_stmt_for_jump_threading,0,0,0,0,0,0,0,0,0,0,0,0
simplify_gen_binary,0,0,0,0,0,0,0,0,0,0,0.02,0
reserve_phi_args_for_new_edge,364.35,-1.32,0,0,0,0,0,0,0,0,0,0
record_temporary_equivalence,15.56,47.14,0,0,0,0,0,0,0,0,0,0
add_dependence_list,0,5,0,0,0,0,0,0,0,0,-0.01,0
try_widen_shift_mode,0,42.85,0,0,0,0,0,0,0,0,-0.01,0
real_avail_expr_hash,0,0,0,0,0,0,0,0,0,0,0.01,0
extend_insn_data,0,0,0,0,0,0,0,0,0,0,-0.01,0
remove_phi_args,419.42,-11.28,0,0,0,0,0,0,0,0,-0.01,0
copy_reference_ops_from_ref,42.15,32.02,0,0,0,0,0,0,0,0,0,0
tsi_delink,33.34,77.77,0,0,0,0,0,0,0,0,0,0
double_int_cmp,0,0,0,0,0,0,0,0,0,0,0,0
canon_address,50.77,22.87,0,0,0,0,0,0,0,0,-0.01,0
remove_stmt_from_eh_lp,0,0,0,0,0,0,0,0,0,0,-0.01,0
df_bb_refs_collect,2.67,27.11,190,14.32,0,0,0,0,0,0,0.01,22.3
has_dependence_note_reg_use,8.58,39.17,0,0,0,0,0,0,0,0,0,0
fur_on_enter,0,14.28,0,0,0,0,0,0,0,0,0,0
true_dependence,-7.7,20.19,0,0,0,0,0,0,0,0,-0.01,0
gimple_can_merge_blocks_p,41.87,24.29,0,0,0,0,0,0,0,0,-0.01,0
flist_clear,0,2.38,0,0,0,0,0,0,0,0,0,0
schedule_on_fences,0,11.11,0,0,0,0,0,0,0,0,0,0
gimple_rhs_has_side_effects,79,30.85,0,0,0,0,0,0,0,0,-0.02,0
mark_used_regs_combine,-3.45,25.86,0,0,0,0,0,0,0,0,0,0
ao_ref_init,0,0,0,0,0,0,0,0,0,0,0,0
remove_local_expressions_from_table,0,20,0,0,0,0,0,0,0,0,-0.01,0
optimize_function_for_size_p,0,0,0,0,0,0,0,0,0,0,0,0
copy_node_stat,74.33,-15.47,0,0,0,0,0,0,0,0,-0.01,0
assemble_name,-44.45,2.22,0,0,0,0,0,0,0,0,0,0
record_jump_cond,14.17,7.22,0,0,0,0,0,0,0,0,-0.02,0
dse_leave_block,0,84.61,0,0,0,0,0,0,0,0,0,0
df_ref_change_reg_with_loc,0,100,0,0,0,0,0,0,0,0,0,0
sbitmap_empty_p,0,0,0,0,0,0,0,0,0,0,0,0
dom_opt_leave_block,25.7,20.62,0,0,0,0,0,0,0,0,-0.01,0
default_addr_space_pointer_mode,0,0,0,0,0,0,0,0,0,0,0.01,0
int_const_binop,40.52,15.65,0,0,0,0,0,0,0,0,0,0
simple_iv_increment_p,263.24,-4.12,20,40,0,0,0,0,0,0,0.01,18.4
df_get_live_in,0,33.34,0,0,0,0,0,0,0,0,0,0
vn_phi_eq,-37.26,67.89,0,0,0,0,0,0,0,0,0,0
lhs_of_dominating_assert,22.73,71.13,130.77,88.97,0,0,0,0,0,0,0.02,14.2
prepare_def_site_for,0,66.66,0,0,0,0,0,0,0,0,0.01,0
simplify_gen_relational,0,0,0,0,0,0,0,0,0,0,0,0
add_double_with_sign,0,0,0,0,0,0,0,0,0,0,0,0
gsi_insert_after,0,0,0,0,0,0,0,0,0,0,0.01,0
redirect_exp_1,0,9.52,0,0,0,0,0,0,0,0,0,0
recog_43,647.18,-14.09,0,0,0,0,0,0,0,0,0,0
cgraph_create_edge,240,56.98,0,0,0,0,0,0,0,0,-0.01,0
value_member,0,0,0,0,0,0,0,0,0,0,0,0
build3_stat,110,46.91,0,0,0,0,0,0,0,0,0.01,0
propagate_rtx_1,79.7,2.8,0,0,0,0,0,0,0,0,0,0
sched_analyze,25,42.5,0,0,0,0,0,0,0,0,-0.01,0
set_mem_attributes_minus_bitpos,147.43,22.76,0,0,0,0,0,0,0,0,0,0
gimple_predicted_by_p,0,0,0,0,0,0,0,0,0,0,0,0
expr_dest_reg,0,100,0,0,0,0,0,0,0,0,0,0
prototype_p,0,0,0,0,0,0,0,0,0,0,0,0
loe_visit_block,36.59,64.69,0,0,0,0,0,0,0,0,0,0
bookkeeping_can_be_created_if_moved_through_p,0,6.9,0,0,0,0,0,0,0,0,0.01,5.5
compute_data_dependences_for_bb,145.46,36.53,0,0,0,0,0,0,0,0,0,0
rtl_block_ends_with_call_p,-8.34,91.66,50,100,0,0,0,0,0,0,0.01,46.3
ix86_expand_branch,0,0,0,0,0,0,0,0,0,0,0.03,0.3
do_compare_rtx_and_jump,0,7,0,0,0,0,0,0,0,0,-0.01,0
cselib_init,0,0,0,0,0,0,0,0,0,0,0.01,0
emit_jump_insn_after_setloc,0,36.36,0,0,0,0,0,0,0,0,0,-3.9
expr_expected_value_1,20.53,27.25,0,0,0,0,0,0,0,0,-0.02,0
