,GVN,,LICM,,DSE,,LV,,SLP,,,
Functions,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,% increase in the number of pointer pairs,% increase in no-alias and must-alias pointer pairs,Performance improvement,Precision improvement
x264_cabac_encode_decision_c,80,55.84,0,0,0,0,-33.34,-33.34,0,0,-0.01,33.8
x264_slicetype_mb_cost,849.43,10.37,0,0,0,0,0,0,0,0,-0.01,7.8
mc_copy_w8,0,0,-50,100,0,100,0,0,0,0,0.01,14.2
x264_pixel_var_16x16,0,0,0,0,0,0,0,0,0,0,0,33.3
x264_pixel_sad_x4_8x8,1480,11.4,0,0,0,0,0,0,0,0,-0.06,66.7
dequant_4x4,0,100,0,0,0,0,0,0,0,0,-0.01,46.6
x264_pixel_sad_16x8,0,100,0,0,0,0,0,0,0,0,-0.01,46.4
x264_mb_predict_mv,26.97,83.05,0,0,0,0,0,0,0,0,-0.01,44.9
x264_pixel_sad_x3_8x8,1200,10.99,0,0,0,0,0,0,0,0,0,63.6
x264_macroblock_load_pic_pointers,109.81,10.03,0,0,0,0,0,0,0,0,-0.02,25.5
predict_16x16_p,-20,78.33,0,0,0,0,0,0,0,0,-0.02,71.1
x264_mb_predict_mv_ref16x16,55.33,35.76,0,0,0,0,0,0,0,0,0,27.1
deblock_chroma_c,0,0,0,0,0,0,0,0,0,0,0,0
x264_pixel_sad_x4_16x16,1480,11.4,0,0,0,0,0,0,0,0,-0.05,66.7
x264_pixel_satd_8x16,0,0,0,0,0,0,0,0,0,0,-0.03,0
sub4x4_dct_dc,0,0,0,0,0,0,0,0,0,0,0,0
mc_copy_w16,0,0,0,0,0,0,0,0,0,0,-0.01,40
mc_weight_w8,185,55,0,0,0,0,0,0,0,0,-0.01,44.7
x264_mb_predict_mv_direct16x16,33.87,2.48,37.84,13.1,81.58,20.84,3343.34,-22.66,22.23,7.4,0.01,4.1
x264_macroblock_cache_load,138.58,-15.01,0,0,0,0,6375,0,0,0,-0.03,8.3
x264_decimate_score16,0,33.34,0,0,0,0,0,0,0,0,0,33.3
x264_analyse_update_cache,129.96,31.16,0,0,0,0,2773.34,0,0,0,-0.02,0.8
x264_pixel_var_8x8,0,0,0,0,0,0,0,0,0,0,0,33.3
predict_8x8_vr,0,0,0,0,0,0,0,0,0,0,0,33.6
block_residual_write_cabac,0,13.95,0,0,0,0,0,0,0,0,0,6.6
x264_frame_deblock_row,417.24,8.26,0,0,100,33.33,0,0,0,0,0.01,13.4
x264_mb_optimize_chroma_dc,-7.15,61.17,0,0,0,0,0,0,0,0,0,62.8
S_regmatch,1243.75,2.92,0,0,7597.94,-6.19,0,0,0,0,-1.97,1.1
S_find_byclass,474.54,3.63,46.02,18.74,46.02,18.74,0,0,0,0,0.92,0.3
Perl_leave_scope,36.69,-7.52,3.58,18.47,3.58,18.47,0,0,0,0,0.25,1.4
Perl_regexec_flags,923.31,-12.3,38.94,32.54,38.94,32.54,0,0,0,0,0.58,1.8
Perl_save_pushptr,0,0,0,0,0,0,0,0,0,0,0,3
Perl_hv_common,176.04,8.42,0,0,314.87,-6.52,0,0,0,0,-0.11,2.2
Perl_ckwarn,0,0,0,0,0,0,0,0,0,0,0,14.3
Perl_sv_setsv_flags,40.39,31.22,58.52,23.94,58.52,23.94,0,0,0,100,0.03,1.2
Perl_fbm_instr,23.69,47.86,0,0,0,0,0,0,0,0,-0.06,9.7
Perl__to_fold_latin1,0,0,0,0,-50,100,0,0,0,0,0,28.6
Perl_pp_entersub,1306.6,-15.36,27.03,37.61,27.03,37.61,0,0,0,0,0.04,6.9
Perl_pp_multideref,48.19,-9.46,0,37.5,0,37.5,0,0,0,0,0.16,1.5
Perl_pp_nextstate,0,11.11,0,0,0,0,0,0,0,0,0.04,5.1
Perl_pp_match,126.96,-15.26,150,3.33,150,3.33,0,0,0,0,0.08,4.9
Perl_pp_and,0,25.65,0,0,0,0,0,0,0,0,-0.06,13
Perl_re_intuit_start,1343.51,2.92,0,0,-15,32.36,0,0,0,0,-0.02,4.7
Perl_pp_padsv,33.34,58.33,50,66.67,50,66.67,0,0,0,0,0.15,16.4
Perl_sv_clear,27.01,20.19,0,0,12,34.15,0,0,0,0,0,2.6
S_regrepeat,33.15,20.16,0,0,0,0,0,0,0,0,0.01,1.1
Perl_pp_const,0,0,0,0,0,50,0,0,0,0,-0.15,7.7
Perl_ck_warner,50,-25,0,0,0,0,0,0,0,0,0.01,3.6
S_reginclass,0,3.39,0,0,0,0,0,0,0,0,0.01,0.8
Perl_sv_upgrade,14.87,22.93,0,0,105.18,27.16,0,0,0,0,-0.02,4.2
Perl_save_aptr,0,0,0,0,0,0,0,0,0,0,0,0
S_dofindlabel,15.39,9.49,0,0,0,25,0,0,0,0,-0.02,6.5
Perl_runops_standard,0,0,0,0,0,0,0,0,0,0,-0.02,2.2
Perl_foldEQ_latin1,0,44.44,0,0,0,0,0,0,0,0,0.04,21.4
Perl_pp_gv,11.12,77.77,0,100,0,100,0,0,0,0,0.05,26
Perl_do_trans,4333.53,-16.08,408.65,-7.11,408.65,-7.11,0,0,0,0,0.05,0.4
Perl_pp_iter,114.91,10.93,400,-34.28,400,-34.28,0,0,0,0,0.02,9.1
Perl_pp_aassign,18.14,9.62,0,0,0,0,0,0,0,0,0,3.4
Perl_pp_gvsv,-18.75,31.74,0,100,0,100,0,0,0,0,0.1,14.5
S_share_hek_flags,66.67,54.82,0,0,-35.42,61.7,0,0,0,0,-0.02,27
Perl_pp_rv2av,12.56,16.42,0,0,0,0,0,0,0,0,-0.06,5.4
Perl_pop_scope,0,0,0,0,0,0,0,0,0,0,-0.03,0
Perl_pp_padrange,-3.45,14.96,0,0,0,25,0,0,0,0,-0.01,12
Perl_pp_leavesub,20.36,42.55,0,0,163.16,57.68,0,0,0,0,-0.03,20.8
Perl_pp_sassign,12.13,22.03,0,0,0,0,0,0,0,0,0.03,5.5
Perl_pp_subst,1001.59,-10.1,980.86,12.18,980.86,12.18,0,0,36.37,18.18,0.03,7.6
S_pushav,40,27.62,0,0,100,100,0,0,0,0,-0.02,8.6
Perl_sortsv_flags,8.55,2.86,-1.22,15.5,-1.22,15.5,72.73,-3.83,-3.18,12.12,0.05,0.9
Perl_pp_pushmark,0,50,0,0,0,0,0,0,0,0,-0.02,6.4
Perl_pp_method_named,-26.99,35.58,0,0,100,100,0,0,0,0,-0.03,20.5
Perl_pp_cond_expr,0,21.74,0,0,0,0,0,0,0,0,0.01,8.9
S_regcppush,-10.53,35.45,0,0,0,0,0,0,0,25,0.03,25.7
S_setup_EXACTISH_ST_c1_c2,16.5,-2.42,54.55,36.1,54.55,36.1,0,0,0,0,0.04,0.1
Perl_pp_or,0,32.14,0,0,0,0,0,0,0,0,-0.08,10.6
Perl_pp_lc,640.63,-12.62,0,0,162.5,0.99,0,0,0,0,-0.02,5.3
Perl_vivify_ref,41.18,22.79,50,50,50,50,0,0,0,0,0.04,5.6
Perl_sv_grow,4.45,21.65,0,0,115.39,26.92,0,0,0,0,0,7.5
Perl_pp_unstack,8,6.38,0,0,0,0,0,0,0,0,0.06,11.4
Perl_sv_cmp_flags,33.93,3.02,100,5,100,5,2900,0,0,0,0.08,0.3
S_sv_uncow,50,62.5,0,0,157.15,19.05,0,0,0,0,0,37.2
Perl_sv_free2,0,0,0,0,0,0,0,0,0,0,0.01,0
Perl_sv_force_normal_flags,0,0,0,0,0,0,0,0,0,0,0.12,0
Perl_pp_leave,21.22,30.98,0,0,0,0,0,0,0,0,-0.05,10.7
Perl_sv_catpvn_flags,15.31,14.13,0,0,81.82,11.36,0,0,0,0,-0.01,4.8
Perl_pp_enter,-10,3.34,0,6.25,0,6.25,0,0,0,0,0.03,10.6
S_backup_one_WB,0,0,0,0,0,0,0,0,0,0,0,0
S_softref2xv_lite,0,40,0,0,0,0,0,0,0,0,-0.06,2.9
Perl_safesysfree,0,0,0,0,0,0,0,0,0,0,0,0
Perl_free_tmps,0,33.34,0,0,0,0,0,0,0,0,0,16.7
Perl_sv_eq_flags,40.39,3.54,95.46,3.7,95.46,3.7,2700,0,0,0,0.03,0.2
Perl_pp_concat,444.92,-3,0,0,333.34,-3.59,0,0,0,0,0,8.1
